CODI_SAD;ANY;GEN_DIARI;FEB_DIARI;MAR_DIARI;ABR_DIARI;MAI_DIARI;JUN_DIARI;JUL_DIARI;AGO_DIARI;SET_DIARI;OCT_DIARI;NOV_DIARI;DES_DIARI
AFLUENT_ONYAR;2019;0,294102096;0,266032181;0,218968172;0,333160233;0,274559881;0,165612153;0,08395374;0,039092854;0,473037269;1,88373264;0,247247799;2,947928321
AFLUENT_ONYAR;2020;20,53421061;1,229223503;1,186699103;15,08188048;0,973647436;2,251770533;0,783106853;0,320392214;0,223399651;0,149342854;0,913011932;0,377008759
AFLUENT_ONYAR;2021;0,275927579;0,369362974;0,274190626;0,285487118;0,268357549;0,111622427;0,070435641;0,046632569;0,236560675;0,100598848;0,585989105;0,12449971
AFLUENT_ONYAR;2022;0,072715605;0,065182041;0,831353936;0,926976905;0,255284217;0,092471501;0,04704055;0,052467729;0,190043855;0,238188018;0,123976742;0,102747105
AFLUENT_ONYAR;2023;0,05367847;0,177986499;0,162630102;0,065513523;0,059841158;0,151242252;0,038944111;0,032551037;0,078504295;0,068373981;0,124014271;0,14327087
AFLUENT_ONYAR;2024;0,123017837;0,096371466;0,29553963;0,275418726;0,457416845;0,191460862;0,055120696;0,42558624;0,158477233;0,115725702;0,250173334;0,113147065
AFLUENT_ONYAR_ONYAR;2007;0,787120878;0,769696429;0,843448387;1,411126667;3,682806452;1,737436667;0,852684565;0,895365918;0,844065517;0,855925806;0,85159;0,849719355
AFLUENT_ONYAR_ONYAR;2008;0,847703333;0,784317857;0,004603226;0,013879167;0,019728;0,321851662;0,00573125;0,000334825;0,289649171;0,002536073;0,001336574;0,236049283
AFLUENT_ONYAR_ONYAR;2009;;;0,477914142;0,621801262;0,578710747;0,256151273;0,099267809;0,021069074;0,038890856;0,043408381;0,062049689;0,021707437
AFLUENT_ONYAR_ONYAR;2010;0,016541552;0,117261422;0,186394037;0,061527702;0,212361665;0,010463773;0,078806148;0,73940905;0,096708023;0,085278133;;
AFLUENT_ONYAR_ONYAR;2011;;;0,573949373;0,136773339;0,413706385;0,255749606;;;0,329881896;0,799596562;3,94753711;0,684184514
AFLUENT_ONYAR_ONYAR;2012;0,449358326;0,205214309;0,440218;0,581176026;0,274206413;0,206243859;0,103907928;0,00109095;0,000359259;0,193854951;0,000615278;
AFLUENT_ONYAR_ONYAR;2013;;;0,415426635;0,000147454;0,002751568;;;0,001966734;0,267449499;0,336873208;0,070888079;
AFLUENT_ONYAR_ONYAR;2014;;;0,010140569;0,166194019;0,321862067;0,034465509;0,002350918;0,008610775;1,434930208;0;0,557805787;0,287732303
AFLUENT_ONYAR_ONYAR;2015;;;0,008595654;;;;;0,168147401;0,378977107;0,050636313;0,000589236;
AFLUENT_ONYAR_ONYAR;2016;;;;;0,006728943;0,023695023;0,101829525;0,010289119;0,007349537;0,012770355;0,001129282;0,000239247
AFLUENT_ONYAR_ONYAR;2017;0,004945116;0,002370164;0,005175515;;0,031258176;0,063496202;0,011467518;;;;;
AFLUENT_ONYAR_ONYAR;2018;;0,020638313;0,090039875;0,420010354;0,362220878;0,75767338;0,397949492;0,367143033;0,436681437;0,852085237;0,198131069;0,541073052
AFLUENT_ONYAR_ONYAR;2019;0,493305668;0,434092386;0,378118345;0,405712731;0,345989808;0,673350926;0,83747096;1,001835237;2,156199769;1,136997646;0,654312143;0,928909498
AFLUENT_ONYAR_ONYAR;2020;4,374289967;0,959310704;0,816812866;3,718300463;0,697343931;0,836179167;0,611382728;0,487143033;0,381413542;0,137334343;0,443701384;0,184114562
AFLUENT_ONYAR_ONYAR;2021;0,137444502;0,155818819;0,091659316;0,693662491;0,693271505;0,200696008;0,027304348;0,199375336;0,532382523;0,50061996;0,162666898;0,267699373
AFLUENT_ONYAR_ONYAR;2022;0,29424944;0,31214763;0,432876587;0,561098843;0,50747171;0,42356713;0,340309259;0,532575045;0,126329337;0,002388553;0,002512963;0,015033826
AFLUENT_ONYAR_ONYAR;2023;0,065371976;0,086799711;0,051576053;0,040887732;0,087024978;0,062560824;0,049903338;0,077291443;0,309618114;0,081589606;0,133846296;0,039670043
AFLUENT_ONYAR_ONYAR;2024;0,002189068;0,000452945;0,002679548;0,127260648;0,564011761;0,242497158;0,022803651;0,151950493;0,009630214;0,00903629;0,005623032;0,044662993
AFLUENT_ONYAR_ONYAR;2025;0,279360203;0,413200383;1,745639307;0,597801429;0,708381288;0,383756019;0,401160227;;;;;
AFLUENT_OSOR;2007;;;;;;;;;;;;
AFLUENT_OSOR;2008;;;;;;;;;;;;
AFLUENT_OSOR;2009;;;;;;;;;;;;
AFLUENT_OSOR;2010;;;;0,292;1,143548387;0,188666667;0,047096774;0,107741935;0,134;0,675483871;0,226333333;0,228709677
AFLUENT_OSOR;2011;0,218064516;0,226785714;1,960967742;0,760666667;0,96483871;1,224;0,319032258;0,442580645;0,228666667;0,197741935;2,421666667;0,573870968
